book,chapter,title,awoiaf
0,0,Prologue,A_Game_of_Thrones-Prologue
0,1,Bran I,A_Game_of_Thrones-Chapter_1
0,2,Catelyn I,A_Game_of_Thrones-Chapter_2
0,3,Daenerys I,A_Game_of_Thrones-Chapter_3
0,4,Eddard I,A_Game_of_Thrones-Chapter_4
0,5,Jon I,A_Game_of_Thrones-Chapter_5
0,6,Catelyn II,A_Game_of_Thrones-Chapter_6
0,7,Arya I,A_Game_of_Thrones-Chapter_7
0,8,Bran II,A_Game_of_Thrones-Chapter_8
0,9,Tyrion I,A_Game_of_Thrones-Chapter_9
0,10,Jon II,A_Game_of_Thrones-Chapter_10
0,11,Daenerys II,A_Game_of_Thrones-Chapter_11
0,12,Eddard II,A_Game_of_Thrones-Chapter_12
0,13,Tyrion II,A_Game_of_Thrones-Chapter_13
0,14,Catelyn III,A_Game_of_Thrones-Chapter_14
0,15,Sansa I,A_Game_of_Thrones-Chapter_15
0,16,Eddard III,A_Game_of_Thrones-Chapter_16
0,17,Bran III,A_Game_of_Thrones-Chapter_17
0,18,Catelyn IV,A_Game_of_Thrones-Chapter_18
0,19,Jon III,A_Game_of_Thrones-Chapter_19
0,20,Eddard IV,A_Game_of_Thrones-Chapter_20
0,21,Tyrion III,A_Game_of_Thrones-Chapter_21
0,22,Arya II,A_Game_of_Thrones-Chapter_22
0,23,Daenerys III,A_Game_of_Thrones-Chapter_23
0,24,Bran IV,A_Game_of_Thrones-Chapter_24
0,25,Eddard V,A_Game_of_Thrones-Chapter_25
0,26,Jon IV,A_Game_of_Thrones-Chapter_26
0,27,Eddard VI,A_Game_of_Thrones-Chapter_27
0,28,Catelyn V,A_Game_of_Thrones-Chapter_28
0,29,Sansa II,A_Game_of_Thrones-Chapter_29
0,30,Eddard VII,A_Game_of_Thrones-Chapter_30
0,31,Tyrion IV,A_Game_of_Thrones-Chapter_31
0,32,Arya III,A_Game_of_Thrones-Chapter_32
0,33,Eddard VIII,A_Game_of_Thrones-Chapter_33
0,34,Catelyn VI,A_Game_of_Thrones-Chapter_34
0,35,Eddard IX,A_Game_of_Thrones-Chapter_35
0,36,Daenerys IV,A_Game_of_Thrones-Chapter_36
0,37,Bran V,A_Game_of_Thrones-Chapter_37
0,38,Tyrion V,A_Game_of_Thrones-Chapter_38
0,39,Eddard X,A_Game_of_Thrones-Chapter_39
0,40,Catelyn VII,A_Game_of_Thrones-Chapter_40
0,41,Jon V,A_Game_of_Thrones-Chapter_41
0,42,Tyrion VI,A_Game_of_Thrones-Chapter_42
0,43,Eddard XI,A_Game_of_Thrones-Chapter_43
0,44,Sansa III,A_Game_of_Thrones-Chapter_44
0,45,Eddard XII,A_Game_of_Thrones-Chapter_45
0,46,Daenerys V,A_Game_of_Thrones-Chapter_46
0,47,Eddard XIII,A_Game_of_Thrones-Chapter_47
0,48,Jon VI,A_Game_of_Thrones-Chapter_48
0,49,Eddard XIV,A_Game_of_Thrones-Chapter_49
0,50,Arya IV,A_Game_of_Thrones-Chapter_50
0,51,Sansa IV,A_Game_of_Thrones-Chapter_51
0,52,Jon VII,A_Game_of_Thrones-Chapter_52
0,53,Bran VI,A_Game_of_Thrones-Chapter_53
0,54,Daenerys VI,A_Game_of_Thrones-Chapter_54
0,55,Catelyn VIII,A_Game_of_Thrones-Chapter_55
0,56,Tyrion VII,A_Game_of_Thrones-Chapter_56
0,57,Sansa V,A_Game_of_Thrones-Chapter_57
0,58,Eddard XV,A_Game_of_Thrones-Chapter_58
0,59,Catelyn IX,A_Game_of_Thrones-Chapter_59
0,60,Jon VIII,A_Game_of_Thrones-Chapter_60
0,61,Daenerys VII,A_Game_of_Thrones-Chapter_61
0,62,Tyrion VIII,A_Game_of_Thrones-Chapter_62
0,63,Catelyn X,A_Game_of_Thrones-Chapter_63
0,64,Daenerys VIII,A_Game_of_Thrones-Chapter_64
0,65,Arya V,A_Game_of_Thrones-Chapter_65
0,66,Bran VII,A_Game_of_Thrones-Chapter_66
0,67,Sansa VI,A_Game_of_Thrones-Chapter_67
0,68,Daenerys IX,A_Game_of_Thrones-Chapter_68
0,69,Tyrion IX,A_Game_of_Thrones-Chapter_69
0,70,Jon IX,A_Game_of_Thrones-Chapter_70
0,71,Catelyn XI,A_Game_of_Thrones-Chapter_71
0,72,Daenerys X,A_Game_of_Thrones-Chapter_71
1,0,Prologue,A_Clash_of_Kings-Prologue
1,1,Arya I,A_Clash_of_Kings-Chapter_1
1,2,Sansa I,A_Clash_of_Kings-Chapter_2
1,3,Tyrion I,A_Clash_of_Kings-Chapter_3
1,4,Bran I,A_Clash_of_Kings-Chapter_4
1,5,Arya II,A_Clash_of_Kings-Chapter_5
1,6,Jon I,A_Clash_of_Kings-Chapter_6
1,7,Catelyn I,A_Clash_of_Kings-Chapter_7
1,8,Tyrion II,A_Clash_of_Kings-Chapter_8
1,9,Arya III,A_Clash_of_Kings-Chapter_9
1,10,Davos I,A_Clash_of_Kings-Chapter_10
1,11,Theon I,A_Clash_of_Kings-Chapter_11
1,12,Daenerys I,A_Clash_of_Kings-Chapter_12
1,13,Jon II,A_Clash_of_Kings-Chapter_13
1,14,Arya IV,A_Clash_of_Kings-Chapter_14
1,15,Tyrion III,A_Clash_of_Kings-Chapter_15
1,16,Bran II,A_Clash_of_Kings-Chapter_16
1,17,Tyrion IV,A_Clash_of_Kings-Chapter_17
1,18,Sansa II,A_Clash_of_Kings-Chapter_18
1,19,Arya V,A_Clash_of_Kings-Chapter_19
1,20,Tyrion V,A_Clash_of_Kings-Chapter_20
1,21,Bran III,A_Clash_of_Kings-Chapter_21
1,22,Catelyn II,A_Clash_of_Kings-Chapter_22
1,23,Jon III,A_Clash_of_Kings-Chapter_23
1,24,Theon II,A_Clash_of_Kings-Chapter_24
1,25,Tyrion VI,A_Clash_of_Kings-Chapter_25
1,26,Arya VI,A_Clash_of_Kings-Chapter_26
1,27,Daenerys II,A_Clash_of_Kings-Chapter_27
1,28,Bran IV,A_Clash_of_Kings-Chapter_28
1,29,Tyrion VII,A_Clash_of_Kings-Chapter_29
1,30,Arya VII,A_Clash_of_Kings-Chapter_30
1,31,Catelyn III,A_Clash_of_Kings-Chapter_31
1,32,Sansa III,A_Clash_of_Kings-Chapter_32
1,33,Catelyn IV,A_Clash_of_Kings-Chapter_33
1,34,Jon IV,A_Clash_of_Kings-Chapter_34
1,35,Bran V,A_Clash_of_Kings-Chapter_35
1,36,Tyrion VIII,A_Clash_of_Kings-Chapter_36
1,37,Theon III,A_Clash_of_Kings-Chapter_37
1,38,Arya VIII,A_Clash_of_Kings-Chapter_38
1,39,Catelyn V,A_Clash_of_Kings-Chapter_39
1,40,Daenerys III,A_Clash_of_Kings-Chapter_40
1,41,Tyrion IX,A_Clash_of_Kings-Chapter_41
1,42,Davos II,A_Clash_of_Kings-Chapter_42
1,43,Jon V,A_Clash_of_Kings-Chapter_43
1,44,Tyrion X,A_Clash_of_Kings-Chapter_44
1,45,Catelyn VI,A_Clash_of_Kings-Chapter_45
1,46,Bran VI,A_Clash_of_Kings-Chapter_46
1,47,Arya IX,A_Clash_of_Kings-Chapter_47
1,48,Daenerys IV,A_Clash_of_Kings-Chapter_48
1,49,Tyrion XI,A_Clash_of_Kings-Chapter_49
1,50,Theon IV,A_Clash_of_Kings-Chapter_50
1,51,Jon VI,A_Clash_of_Kings-Chapter_51
1,52,Sansa IV,A_Clash_of_Kings-Chapter_52
1,53,Jon VII,A_Clash_of_Kings-Chapter_53
1,54,Tyrion XII,A_Clash_of_Kings-Chapter_54
1,55,Catelyn VII,A_Clash_of_Kings-Chapter_55
1,56,Theon V,A_Clash_of_Kings-Chapter_56
1,57,Sansa V,A_Clash_of_Kings-Chapter_57
1,58,Davos III,A_Clash_of_Kings-Chapter_58
1,59,Tyrion XIII,A_Clash_of_Kings-Chapter_59
1,60,Sansa VI,A_Clash_of_Kings-Chapter_60
1,61,Tyrion XIV,A_Clash_of_Kings-Chapter_61
1,62,Sansa VII,A_Clash_of_Kings-Chapter_62
1,63,Daenerys V,A_Clash_of_Kings-Chapter_63
1,64,Arya X,A_Clash_of_Kings-Chapter_64
1,65,Sansa VIII,A_Clash_of_Kings-Chapter_65
1,66,Theon VI,A_Clash_of_Kings-Chapter_66
1,67,Tyrion XV,A_Clash_of_Kings-Chapter_67
1,68,Jon VIII,A_Clash_of_Kings-Chapter_68
1,69,Bran VII,A_Clash_of_Kings-Chapter_69
2,0,Prologue,A_Storm_of_Swords-Prologue
2,1,Jaime I,A_Storm_of_Swords-Chapter_1
2,2,Catelyn I,A_Storm_of_Swords-Chapter_2
2,3,Arya I,A_Storm_of_Swords-Chapter_3
2,4,Tyrion I,A_Storm_of_Swords-Chapter_4
2,5,Davos I,A_Storm_of_Swords-Chapter_5
2,6,Sansa I,A_Storm_of_Swords-Chapter_6
2,7,Jon I,A_Storm_of_Swords-Chapter_7
2,8,Daenerys I,A_Storm_of_Swords-Chapter_8
2,9,Bran I,A_Storm_of_Swords-Chapter_9
2,10,Davos II,A_Storm_of_Swords-Chapter_10
2,11,Jaime II,A_Storm_of_Swords-Chapter_11
2,12,Tyrion II,A_Storm_of_Swords-Chapter_12
2,13,Arya II,A_Storm_of_Swords-Chapter_13
2,14,Catelyn II,A_Storm_of_Swords-Chapter_14
2,15,Jon II,A_Storm_of_Swords-Chapter_15
2,16,Sansa II,A_Storm_of_Swords-Chapter_16
2,17,Arya III,A_Storm_of_Swords-Chapter_17
2,18,Samwell I,A_Storm_of_Swords-Chapter_18
2,19,Tyrion III,A_Storm_of_Swords-Chapter_19
2,20,Catelyn III,A_Storm_of_Swords-Chapter_20
2,21,Jaime III,A_Storm_of_Swords-Chapter_21
2,22,Arya IV,A_Storm_of_Swords-Chapter_22
2,23,Daenerys II,A_Storm_of_Swords-Chapter_23
2,24,Bran II,A_Storm_of_Swords-Chapter_24
2,25,Davos III,A_Storm_of_Swords-Chapter_25
2,26,Jon III,A_Storm_of_Swords-Chapter_26
2,27,Daenerys III,A_Storm_of_Swords-Chapter_27
2,28,Sansa III,A_Storm_of_Swords-Chapter_28
2,29,Arya V,A_Storm_of_Swords-Chapter_29
2,30,Jon IV,A_Storm_of_Swords-Chapter_30
2,31,Jaime IV,A_Storm_of_Swords-Chapter_31
2,32,Tyrion IV,A_Storm_of_Swords-Chapter_32
2,33,Samwell II,A_Storm_of_Swords-Chapter_33
2,34,Arya VI,A_Storm_of_Swords-Chapter_34
2,35,Catelyn IV,A_Storm_of_Swords-Chapter_35
2,36,Davos IV,A_Storm_of_Swords-Chapter_36
2,37,Jaime V,A_Storm_of_Swords-Chapter_37
2,38,Tyrion V,A_Storm_of_Swords-Chapter_38
2,39,Arya VII,A_Storm_of_Swords-Chapter_39
2,40,Bran III,A_Storm_of_Swords-Chapter_40
2,41,Jon V,A_Storm_of_Swords-Chapter_41
2,42,Daenerys IV,A_Storm_of_Swords-Chapter_42
2,43,Arya VIII,A_Storm_of_Swords-Chapter_43
2,44,Jaime VI,A_Storm_of_Swords-Chapter_44
2,45,Catelyn V,A_Storm_of_Swords-Chapter_45
2,46,Samwell III,A_Storm_of_Swords-Chapter_46
2,47,Arya IX,A_Storm_of_Swords-Chapter_47
2,48,Jon VI,A_Storm_of_Swords-Chapter_48
2,49,Catelyn VI,A_Storm_of_Swords-Chapter_49
2,50,Arya X,A_Storm_of_Swords-Chapter_50
2,51,Catelyn VII,A_Storm_of_Swords-Chapter_51
2,52,Arya XI,A_Storm_of_Swords-Chapter_52
2,53,Tyrion VI,A_Storm_of_Swords-Chapter_53
2,54,Davos V,A_Storm_of_Swords-Chapter_54
2,55,Jon VII,A_Storm_of_Swords-Chapter_55
2,56,Bran IV,A_Storm_of_Swords-Chapter_56
2,57,Daenerys V,A_Storm_of_Swords-Chapter_57
2,58,Tyrion VII,A_Storm_of_Swords-Chapter_58
2,59,Sansa IV,A_Storm_of_Swords-Chapter_59
2,60,Tyrion VIII,A_Storm_of_Swords-Chapter_60
2,61,Sansa V,A_Storm_of_Swords-Chapter_61
2,62,Jaime VII,A_Storm_of_Swords-Chapter_62
2,63,Davos VI,A_Storm_of_Swords-Chapter_63
2,64,Jon VIII,A_Storm_of_Swords-Chapter_64
2,65,Arya XII,A_Storm_of_Swords-Chapter_65
2,66,Tyrion IX,A_Storm_of_Swords-Chapter_66
2,67,Jaime VIII,A_Storm_of_Swords-Chapter_67
2,68,Sansa VI,A_Storm_of_Swords-Chapter_68
2,69,Jon IX,A_Storm_of_Swords-Chapter_69
2,70,Tyrion X,A_Storm_of_Swords-Chapter_70
2,71,Daenerys VI,A_Storm_of_Swords-Chapter_71
2,72,Jaime IX,A_Storm_of_Swords-Chapter_72
2,73,Jon X,A_Storm_of_Swords-Chapter_73
2,74,Arya XIII,A_Storm_of_Swords-Chapter_74
2,75,Samwell IV,A_Storm_of_Swords-Chapter_75
2,76,Jon XI,A_Storm_of_Swords-Chapter_76
2,77,Tyrion XI,A_Storm_of_Swords-Chapter_77
2,78,Samwell V,A_Storm_of_Swords-Chapter_78
2,79,Jon XII,A_Storm_of_Swords-Chapter_79
2,80,Sansa VII,A_Storm_of_Swords-Chapter_80
2,81,Epilogue,A_Storm_of_Swords-Epilogue
3,0,Prologue,A_Feast_for_Crows-Prologue
3,1,The Prophet,A_Feast_for_Crows-Chapter_1
3,2,The Captain Of Guards,A_Feast_for_Crows-Chapter_2
3,3,Cersei I,A_Feast_for_Crows-Chapter_3
3,4,Brienne I,A_Feast_for_Crows-Chapter_4
3,5,Samwell I,A_Feast_for_Crows-Chapter_5
3,6,Arya I,A_Feast_for_Crows-Chapter_6
3,7,Cersei II,A_Feast_for_Crows-Chapter_7
3,8,Jaime I,A_Feast_for_Crows-Chapter_8
3,9,Brienne II,A_Feast_for_Crows-Chapter_9
3,10,Sansa I,A_Feast_for_Crows-Chapter_10
3,11,Kraken's Daughter,A_Feast_for_Crows-Chapter_11
3,12,Cersei III,A_Feast_for_Crows-Chapter_12
3,13,The Soiled Knight,A_Feast_for_Crows-Chapter_13
3,14,Brienne III,A_Feast_for_Crows-Chapter_14
3,15,Samwell II,A_Feast_for_Crows-Chapter_15
3,16,Jaime II,A_Feast_for_Crows-Chapter_16
3,17,Cersei IV,A_Feast_for_Crows-Chapter_17
3,18,The Iron Captain,A_Feast_for_Crows-Chapter_18
3,19,The Drowned Man,A_Feast_for_Crows-Chapter_19
3,20,Brienne IV,A_Feast_for_Crows-Chapter_20
3,21,The Queenmaker,A_Feast_for_Crows-Chapter_21
3,22,Arya II,A_Feast_for_Crows-Chapter_22
3,23,Alayne I,A_Feast_for_Crows-Chapter_23
3,24,Cersei V,A_Feast_for_Crows-Chapter_24
3,25,Brienne V,A_Feast_for_Crows-Chapter_25
3,26,Samwell III,A_Feast_for_Crows-Chapter_26
3,27,Jaime III,A_Feast_for_Crows-Chapter_27
3,28,Cersei VI,A_Feast_for_Crows-Chapter_28
3,29,The Reaver,A_Feast_for_Crows-Chapter_29
3,30,Jaime IV,A_Feast_for_Crows-Chapter_30
3,31,Brienne VI,A_Feast_for_Crows-Chapter_31
3,32,Cersei VII,A_Feast_for_Crows-Chapter_32
3,33,Jaime V,A_Feast_for_Crows-Chapter_33
3,34,Cat Of The Canals,A_Feast_for_Crows-Chapter_34
3,35,Samwell IV,A_Feast_for_Crows-Chapter_35
3,36,Cersei VIII,A_Feast_for_Crows-Chapter_36
3,37,Brienne VII,A_Feast_for_Crows-Chapter_37
3,38,Jaime VI,A_Feast_for_Crows-Chapter_38
3,39,Cersei IX,A_Feast_for_Crows-Chapter_39
3,40,Princess in the Tower,A_Feast_for_Crows-Chapter_40
3,41,Alayne II,A_Feast_for_Crows-Chapter_41
3,42,Brienne VIII,A_Feast_for_Crows-Chapter_42
3,43,Cersei X,A_Feast_for_Crows-Chapter_43
3,44,Jaime VII,A_Feast_for_Crows-Chapter_44
3,45,Samwell V,A_Feast_for_Crows-Chapter_45
4,0,Prologue,Prologue_(A_Dance_with_Dragons)
4,1,Tyrion I,Tyrion_I_(A_Dance_with_Dragons)
4,2,Daenerys I,Daenerys_I_(A_Dance_with_Dragons)
4,3,Jon I,Jon_I_(A_Dance_with_Dragons)
4,4,Bran I,Bran_I_(A_Dance_with_Dragons)
4,5,Tyrion II,Tyrion_II_(A_Dance_with_Dragons)
4,6,The Merchant's Man,The_Merchant%27s_Man_(A_Dance_with_Dragons)
4,7,Jon II,Jon_II_(A_Dance_with_Dragons)
4,8,Tyrion III,Tyrion_III_(A_Dance_with_Dragons)
4,9,Davos I,Davos_I_(A_Dance_with_Dragons)
4,10,Jon III,Jon_III_(A_Dance_with_Dragons)
4,11,Daenerys II,Daenerys_II_(A_Dance_with_Dragons)
4,12,Reek I,Reek_I_(A_Dance_with_Dragons)
4,13,Bran II,Bran_II_(A_Dance_with_Dragons)
4,14,Tyrion IV,Tyrion_IV_(A_Dance_with_Dragons)
4,15,Davos II,Davos_II_(A_Dance_with_Dragons)
4,16,Daenerys III,Daenerys_III_(A_Dance_with_Dragons)
4,17,Jon IV,Jon_IV_(A_Dance_with_Dragons)
4,18,Tyrion V,Tyrion_V_(A_Dance_with_Dragons)
4,19,Davos III,Davos_III_(A_Dance_with_Dragons)
4,20,Reek II,Reek_II_(A_Dance_with_Dragons)
4,21,Jon V,Jon_V_(A_Dance_with_Dragons)
4,22,Tyrion VI,Tyrion_VI_(A_Dance_with_Dragons)
4,23,Daenerys IV,Daenerys_IV_(A_Dance_with_Dragons)
4,24,The Lost Lord,The_Lost_Lord_(A_Dance_with_Dragons)
4,25,The Windblown,The_Windblown_(A_Dance_with_Dragons)
4,26,The Wayward Bride,The_Wayward_Bride_(A_Dance_with_Dragons)
4,27,Tyrion VII,Tyrion_VII_(A_Dance_with_Dragons)
4,28,Jon VI,Jon_VI_(A_Dance_with_Dragons)
4,29,Davos IV,Davos_IV_(A_Dance_with_Dragons)
4,30,Daenerys V,Daenerys_V_(A_Dance_with_Dragons)
4,31,Melisandre I,Melisandre_I_(A_Dance_with_Dragons)
4,32,Reek III,Reek_III_(A_Dance_with_Dragons)
4,33,Tyrion VIII,Tyrion_VIII_(A_Dance_with_Dragons)
4,34,Bran III,Bran_III_(A_Dance_with_Dragons)
4,35,Jon VII,Jon_VII_(A_Dance_with_Dragons)
4,36,Daenerys VI,Daenerys_VI_(A_Dance_with_Dragons)
4,37,Prince of Winterfell,The_Prince_of_Winterfell_(A_Dance_with_Dragons)
4,38,The Watcher,The_Watcher_(A_Dance_with_Dragons)
4,39,Jon VIII,Jon_VIII_(A_Dance_with_Dragons)
4,40,Tyrion IX,Tyrion_IX_(A_Dance_with_Dragons)
4,41,The Turncloak,The_Turncloak_(A_Dance_with_Dragons)
4,42,The King's Prize,The_King's_Prize_(A_Dance_with_Dragons)
4,43,Daenerys VII,Daenerys_VII_(A_Dance_with_Dragons)
4,44,Jon IX,Jon_IX_(A_Dance_with_Dragons)
4,45,The Blind Girl,The_Blind_Girl_(A_Dance_with_Dragons)
4,46,A Ghost In Winterfell,A_Ghost_in_Winterfell_(A_Dance_with_Dragons)
4,47,Tyrion X,Tyrion_X_(A_Dance_with_Dragons)
4,48,Jaime I,Jaime_I_(A_Dance_with_Dragons)
4,49,Jon X,Jon_X_(A_Dance_with_Dragons)
4,50,Daenerys VIII,Daenerys_VIII_(A_Dance_with_Dragons)
4,51,Theon I,Theon_I_(A_Dance_with_Dragons)
4,52,Daenerys IX,Daenerys_IX_(A_Dance_with_Dragons)
4,53,Jon XI,Jon_XI_(A_Dance_with_Dragons)
4,54,Cersei I,Cersei_I_(A_Dance_with_Dragons)
4,55,The Queensguard,The_Queensguard_(A_Dance_with_Dragons)
4,56,The Iron Suitor,The_Iron_Suitor_(A_Dance_with_Dragons)
4,57,Tyrion XI,Tyrion_XI_(A_Dance_with_Dragons)
4,58,Jon XII,Jon_XII_(A_Dance_with_Dragons)
4,59,Discarded Knight,The_Discarded_Knight_(A_Dance_with_Dragons)
4,60,The Spurned Suitor,The_Spurned_Suitor_(A_Dance_with_Dragons)
4,61,The Griffin Reborn,The_Griffin_Reborn_(A_Dance_with_Dragons)
4,62,The Sacrifice,The_Sacrifice_(A_Dance_with_Dragons)
4,63,Victarion I,Victarion_I_(A_Dance_with_Dragons)
4,64,The Ugly Little Girl,The_Ugly_Little_Girl_(A_Dance_with_Dragons)
4,65,Cersei II,Cersei_II_(A_Dance_with_Dragons)
4,66,Tyrion XII,Tyrion_XII_(A_Dance_with_Dragons)
4,67,The Kingbreaker,The_Kingbreaker_(A_Dance_with_Dragons)
4,68,The Dragontamer,The_Dragontamer_(A_Dance_with_Dragons)
4,69,Jon XIII,Jon_XIII_(A_Dance_with_Dragons)
4,70,The Queen's Hand,The_Queen%27s_Hand_(A_Dance_with_Dragons)
4,71,Daenerys X,Daenerys_X_(A_Dance_with_Dragons)
4,72,Epilogue,Epilogue_(A_Dance_with_Dragons)
5,999,WOW-?: Theon I,Theon_I_(The_Winds_of_Winter)