season,episode,title,awoiaf,wikipedia
1,1,Winter Is Coming,Winter_Is_Coming,
1,2,The Kingsroad,The_Kingsroad,
1,3,Lord Snow,Lord_Snow,
1,4,Cripplesˌ Bastardsˌ & Broken Things,"Cripples,_Bastards,_and_Broken_Things",
1,5,The Wolf and the Lion,The_Wolf_and_the_Lion,
1,6,A Golden Crown,A_Golden_Crown,
1,7,You Win or You Die,You_Win_or_You_Die,
1,8,The Pointy End,The_Pointy_End,
1,9,Baelor,Baelor_(TV),
1,10,Fire and Blood,Fire_and_Blood_(Game_of_Thrones),
2,1,The North Remembers,The_North_Remembers_(TV),
2,2,The Night Lands,The_Night_Lands_(TV),
2,3,What Is Dead May Never Die,What_Is_Dead_May_Never_Die_(TV),
2,4,Garden of Bones,Garden_of_Bones_(TV),
2,5,The Ghost of Harrenhal,The_Ghost_of_Harrenhal_(TV),
2,6,The Old Gods and the New,The_Old_Gods_and_the_New_(TV),
2,7,A Man Without Honor,A_Man_Without_Honor_(TV),
2,8,The Prince of Winterfell,The_Prince_of_Winterfell_(TV),
2,9,Blackwater,Blackwater_(TV),
2,10,Valar Morghulis,Valar_Morghulis_(TV),
3,1,Valar Dohaeris,Valar_Dohaeris_(TV),
3,2,Dark Wingsˌ Dark Words,"Dark_Wings,_Dark_Words",
3,3,Walk of Punishment,Walk_of_Punishment,
3,4,And Now His Watch is Ended,And_Now_His_Watch_Is_Ended,
3,5,Kissed by Fire,Kissed_by_Fire,
3,6,The Climb,The_Climb,
3,7,The Bear and the Maiden Fair,The_Bear_and_the_Maiden_Fair_(TV),
3,8,Second Sons,Second_Sons_(TV),
3,9,The Rains of Castamere,The_Rains_of_Castamere_(TV),
3,10,Mhysa,Mhysa_(TV),
4,1,Two Swords,Two_Swords,
4,2,The Lion and the Rose,The_Lion_and_the_Rose,
4,3,Breaker of Chains,Breaker_of_Chains,
4,4,Oathkeeper,Oathkeeper_(TV),
4,5,First of His Name,First_of_His_Name,
4,6,The Laws of Gods and Men,The_Laws_of_Gods_and_Men,
4,7,Mockingbird,Mockingbird_(TV),Mockingbird_(Game_of_Thrones)
4,8,The Mountain and the Viper,The_Mountain_and_the_Viper,The_Mountain_and_the_Viper
4,9,The Watchers on the Wall,The_Watchers_on_the_Wall,The_Watchers_on_the_Wall
4,10,The Children,The_Children,The_Children_(Game_of_Thrones)
5,1,The Wars to Come,The_Wars_to_Come,The_Wars_to_Come
5,2,The House of Black and White,The_House_of_Black_and_White,The_House_of_Black_and_White
5,3,High Sparrow,High_Sparrow_(TV),High_Sparrow
5,4,The Sons of the Harpy,Sons_of_the_Harpy_(TV),Sons_of_the_Harpy
5,5,Kill the Boy,Kill_the_Boy,Kill_the_Boy
5,6,Unbowedˌ Unbentˌ Unbroken,"Unbowed,_Unbent,_Unbroken","Unbowed,_Unbent,_Unbroken"
5,7,The Gift,The_Gift,The_Gift_(Game_of_Thrones)
5,8,Hardhome,Hardhome_(TV),Hardhome
5,9,The Dance of Dragons,The_Dance_of_Dragons,The_Dance_of_Dragons
5,10,Mother's Mercy,Mother%27s_Mercy,Mother%27s_Mercy
6,1,The Red Woman,The_Red_Woman,The_Red_Woman
6,2,Home,Home,Home_(Game_of_Thrones)
6,3,Oathbreaker,,Oathbreaker_(Game_of_Thrones)
6,4,Book of the Stranger,,Book_of_the_Stranger
6,5,The Door,,The_Door_(Game_of_Thrones)
6,6,Blood of My Blood,,Blood_of_My_Blood
6,7,The Broken Man,,The_Broken_Man
6,8,No One,,No_One_(Game_of_Thrones)
6,9,Battle of the Bastards,,Battle_of_the_Bastards
6,10,The Winds of Winter,,The_Winds_of_Winter_(Game_of_Thrones)