key,region,latitude,longitude,title,awoiaf
Westwatch-by-the-Bridge,Numbered Locations,76.36226182,-117.6855469,1: Westwatch-by-the-Bridge,
Shadow_Tower,Numbered Locations,76.37261948,-116.5429688,2: Shadow Tower,
Sentinel_Stand,Numbered Locations,76.38296943,-115.1367188,3: Sentinel Stand,
Greyguard,Numbered Locations,76.31035754,-113.7744141,4: Greyguard,
Stonedoor,Numbered Locations,76.42429214,-112.4560547,5: Stonedoor,
Hoarfrost_Hill,Numbered Locations,76.39331166,-111.5332031,6: Hoarfrost Hill,
Icemark,Numbered Locations,76.37261948,-110.4345703,7: Icemark,
Nightfort,Numbered Locations,76.33114247,-109.5556641,8: Nightfort,
Deep_Lake,Numbered Locations,76.28954162,-108.8525391,9: Deep Lake,
Queensgate,Numbered Locations,76.27912202,-107.8857422,10: Queensgate,
Castle_Black,Numbered Locations,76.26869465,-106.6992188,11: Castle Black,
Oakenshield_(Wall),Numbered Locations,76.20596704,-105.7324219,12: Oakensheild,
Woodswatch-by-the-Pool,Numbered Locations,76.18499546,-104.8974609,13: Woodswatch-by-the-Pool,
Sable_Hall,Numbered Locations,76.16399262,-103.7109375,14: Sable Hall,
Rimegate,Numbered Locations,76.11134844,-102.4804688,15: Rimegate,
Long_Barrow,Numbered Locations,76.12189296,-101.6894531,16: Long Barrow,
Torches,Numbered Locations,76.06909176,-100.8105469,17: Torches,
Greenguard,Numbered Locations,76.03731658,-100.1513672,18: Greenguard,
Eastwatch-by-the-Sea,Numbered Locations,76.17449795,-99.53613281,19: Eastwatch-by-the-Sea,Eastwatch-by-the-Sea
BWB_Hideout,Numbered Locations,25.24469595,-117.8173828,20: Brotherhood Without Banners hideout,A_Feast_for_Crows-Chapter_42
Inn_of_the_Kneeling_Man,Numbered Locations,25.00597266,-122.2998047,21: Inn of the Kneeling Man,
Lord_Harroway%27s_Town,Numbered Locations,23.03929775,-114.4775391,22: Lord Harroway's Town,
They_Lay_With_Lions,Numbered Locations,23.40276491,-126.2548828,23: Inn (They Lay with Lions),A_Storm_of_Swords-Chapter_1
Unnamed_Village,Numbered Locations,22.59372606,-122.6953125,24: Unnamed village,
Lychester_Keep,Numbered Locations,21.94304553,-123.2666016,25: Lord Lychester's Keep,House_Lychester
Lady_of_the_Leaves,Numbered Locations,20.42701281,-125.4638672,26: Lady of the Leaves,
Sallydance,Numbered Locations,19.60119416,-124.8925781,27: Sallydance,
Goodbrook_Village,Numbered Locations,19.2696653,-123.046875,28: Lord Goodbrook's Village,House_Goodbrook#A_Song_of_Ice_and_Fire
Pennytree,Numbered Locations,20.22096578,-119.7949219,29: Pennytree,
Old_Stone_Bridge,Numbered Locations,5.790896813,-100.8105469,30: Old Stone Bridge Inn,
Lord_Hewett%27s_Town,Numbered Locations,-21.00247105,-150.0292969,31: Lord Hewett's Town,
Shandystone,Numbered Locations,-42.45588764,-92.19726563,32: Shandystone,
Fist_of_the_First_Men,The North & Beyond,78.27373666,-116.9311523,,
Craster%27s_Keep,The North & Beyond,77.51837381,-111.5258789,,
Whitetree,The North & Beyond,76.74543604,-109.5043945,,
Hardhome,The North & Beyond,78.72061466,-97.15576172,,
Mole%27s_Town,The North & Beyond,76.00015574,-106.6918945,,
Queenscrown,The North & Beyond,75.22506492,-109.5043945,,
Last_Hearth,The North & Beyond,72.62025182,-104.6923828,,
Karhold,The North & Beyond,70.33353336,-88.16894531,,
Deepwood_Motte,The North & Beyond,70.18510275,-138.5302734,,
Dreadfort,The North & Beyond,67.42436395,-102.5830078,,
Tumbledown_Tower,The North & Beyond,67.75939813,-124.8193359,,
Winterfell,The North & Beyond,66.24916311,-123.3251953,,
Castle_Cerwyn,The North & Beyond,65.38514722,-123.3251953,,
Hornwood,The North & Beyond,63.52897054,-106.1865234,,
Stony_Shore,The North & Beyond,62.66405507,-160.0195313,,
Torrhen%27s_Square,The North & Beyond,62.89521754,-133.9599609,,
Ramsgate,The North & Beyond,58.83649009,-97.66113281,,
Widow%27s_Watch,The North & Beyond,57.72761922,-85.88378906,,
Barrowton,The North & Beyond,57.58655887,-136.5966797,,
White_Harbor,The North & Beyond,56.68037379,-114.0966797,,
Moat_Cailin,The North & Beyond,53.8784404,-122.3583984,,
Oldcastle,The North & Beyond,51.75424007,-109.5263672,,
Flint%27s_Finger,The North & Beyond,50.03597367,-148.7255859,,
Greywater_Watch,The North & Beyond,46.10370876,-124.6435547,,
Execution_Holdfast,The North & Beyond,66.54826346,-122.6220703,,A_Game_of_Thrones-Chapter_1
Crofters%27_village,The North & Beyond,66.58321726,-125.15625,,
Donella_Manderly,The North & Beyond,65.09064558,-107.8564453,,
Sisterton,The Vale,49.35375572,-106.8896484,,
Coldwater_Burn,The Vale,45.05800144,-95.02441406,,
House_Baelish,The Vale,43.16512263,-81.13769531,,
Snakewood,The Vale,41.80407814,-93.09082031,,
Longbow_Hall,The Vale,39.26628442,-86.93847656,,
Heart%27s_Home,The Vale,36.7036596,-99.06738281,,
Strongsong,The Vale,36.84446074,-108.9111328,,
Old_Anchor,The Vale,33.32134853,-87.72949219,,
Ironoaks,The Vale,32.21280107,-92.12402344,,
Runestone,The Vale,32.36140332,-83.07128906,,
Eyrie,The Vale,31.76553741,-102.4951172,,
Bloody_Gate,The Vale,29.87875535,-102.9345703,,
Redfort,The Vale,27.33273514,-95.81542969,,
Gulltown,The Vale,29.42046034,-84.21386719,,
Wickenden,The Vale,20.83827781,-96.07910156,,
Palisade_Village,The Vale,28.03319785,-111.9873047,,A_Storm_of_Swords-Chapter_65
Castle_Goodbrother,The Iron Islands,31.93351676,-153.4277344,,House_Goodbrother_of_Shatterstone
Nagga%27s_Hill,The Iron Islands,31.3723991,-154.2626953,,
Ten_Towers,The Iron Islands,31.3723991,-144.4628906,,
Hammerhorn,The Iron Islands,30.4676141,-156.1962891,,
Pebbleton,The Iron Islands,29.55434513,-152.5927734,,
Pyke,The Iron Islands,27.74188463,-150.6152344,,
Saltpans,The Riverlands,20.92039691,-105.4833984,,
Quiet_Isle,The Riverlands,20.28280869,-105.3295898,,
Maidenpool,The Riverlands,17.64402203,-101.7480469,,
Twins,The Riverlands,38.59970037,-128.7304688,,
Seagard,The Riverlands,35.19176697,-129.2578125,,
Oldstones,The Riverlands,30.92107638,-126.4013672,,
Fairmarket,The Riverlands,29.17134885,-122.578125,,
Crossroads_Inn,The Riverlands,23.42292846,-112.6904297,,
Riverrun,The Riverlands,22.28909642,-128.2910156,,
Stone_Hedge,The Riverlands,22.0856399,-120.9521484,,
Darry,The Riverlands,21.84110475,-112.4707031,,
Raventree_Hall,The Riverlands,19.91138351,-118.6669922,,
Stone_Mill,The Riverlands,18.79191774,-128.7304688,,
High_Heart,The Riverlands,18.45876812,-124.6435547,,
Acorn_Hall,The Riverlands,16.84660511,-125.5224609,,
Harrenhal,The Riverlands,18.25021998,-114.4042969,,
Rushing_Falls,The Riverlands,16.53089842,-116.3378906,,
Pinkmaiden_Castle,The Riverlands,15.4748574,-129.609375,,
Wayfarer%27s_Rest,The Riverlands,16.86763362,-133.4765625,,
Wendish_Town,The Riverlands,13.38961959,-131.2792969,,
Mummer%27s_Ford,The Riverlands,13.94472997,-130.6201172,,
Sherrer,The Riverlands,13.17577122,-130.5322266,,
Tumbler%27s_Falls,The Riverlands,12.49021366,-123.1054688,,
Hollow_Hill,The Riverlands,11.28616077,-128.1152344,,Brotherhood_Without_Banners
Stoney_Sept,The Riverlands,9.817329187,-125.6542969,,
Robbed_Sept,The Riverlands,13.02596593,-126.7089844,,A_Storm_of_Swords-Chapter_39
Gods_Eye_Holdfast,The Riverlands,11.00590446,-114.7998047,,A_Clash_of_Kings-Chapter_14
Gods_Eye_Village,The Riverlands,13.15437606,-111.5478516,,A_Clash_of_Kings-Chapter_19
Banefort,The Westerlands,24.60706914,-147.3632813,,
Nunn%27s_Deep,The Westerlands,22.22809042,-141.9580078,,
The_Crag,The Westerlands,19.80805413,-147.4072266,,
Pendric_Hills,The Westerlands,19.60119416,-144.375,,
Ashemark,The Westerlands,16.84660511,-144.5068359,,
Castamere,The Westerlands,15.66535418,-147.3193359,,
Faircastle,The Westerlands,14.3069695,-152.7246094,,
Golden_Tooth,The Westerlands,14.17918614,-138.6621094,,
Sarsfield,The Westerlands,10.96276426,-145.1660156,,
Oxcross,The Westerlands,9.145486056,-148.5058594,,
Hornvale,The Westerlands,9.058702156,-137.0361328,,
Kayce,The Westerlands,7.49319647,-156.7675781,,
Feastfires,The Westerlands,5.397273408,-157.7783203,,
Casterly_Rock,The Westerlands,6.315298538,-151.3623047,,
Deep_Den,The Westerlands,5.572249801,-136.2451172,,
Tarbeck_Hall,The Westerlands,1.669685501,-152.6367188,,
Clegane%27s_Keep,The Westerlands,1.801460929,-144.4189453,,
Silverhill,The Westerlands,0.263670944,-138.3544922,,
Cornfield,The Westerlands,-2.767477951,-146.8798828,,
Crakehall,The Westerlands,-4.959615025,-154.5703125,,
Dragonstone,The Crownlands,13.19716452,-85.53222656,,
Dyre_Den,The Crownlands,21.20745873,-87.15820313,,
Whispers,The Crownlands,18.52128333,-84.60937,,
Rook%27s_Rest,The Crownlands,14.09395718,-94.27734375,,
Antlers,The Crownlands,14.22178863,-103.8574219,,
Ivy_Inn,The Crownlands,10.22843727,-108.1201172,,A_Clash_of_Kings-Chapter_5
Sow%27s_Horn,The Crownlands,10.83330598,-106.7138672,,
Duskendale,The Crownlands,8.624472108,-98.80371094,,
Brindlewood,The Crownlands,7.44962426,-107.5488281,,
Stokeworth,The Crownlands,5.747174077,-103.9453125,,
Rosby,The Crownlands,3.995780513,-102.4951172,,
Hayford,The Crownlands,3.469557303,-106.9775391,,
King%27s_Landing,The Crownlands,1.318243057,-105.9960938,,
Stonedance,The Crownlands,5.309766172,-86.015625,,
Sharp_Point,The Crownlands,8.32021229,-87.59765625,,
Tumbleton,The Reach,-4.784468967,-114.7998047,,
Red_Lake,The Reach,-8.146242825,-145.9130859,,
Goldengrove,The Reach,-10.96276426,-138.1787109,,
Bitterbridge,The Reach,-11.04903835,-124.0283203,,
Old_Oak,The Reach,-14.51978005,-151.4941406,,
Longtable,The Reach,-14.68988137,-125.2587891,,
Grassy_Vale,The Reach,-13.06877673,-113.4375,,
Cider_Hall,The Reach,-18.60460139,-129.7412109,,
Ashford,The Reach,-20.59165212,-123.0615234,,
Highgarden,The Reach,-23.96617587,-138.3544922,,
Bandallon,The Reach,-29.53522956,-154.8339844,,
Brightwater_Keep,The Reach,-29.99300228,-149.2529297,,
Horn_Hill,The Reach,-29.72622232,-138.0029297,,
Honeyholt,The Reach,-32.99023556,-148.2861328,,
Oldtown,The Reach,-36.6331621,-149.8681641,,
Blackcrown,The Reach,-38.71980474,-155.3613281,,
Uplands,The Reach,-37.40507375,-141.4746094,,
Three_Towers,The Reach,-41.11246879,-152.8125,,
Sunflower_Hall,The Reach,-45.79816953,-144.5068359,,
Haystack_Hall,The Stormlands,-7.885147283,-91.77246094,,
Parchments,The Stormlands,-8.32021229,-85.75195313,,
Bronzegate,The Stormlands,-8.754794702,-94.49707031,,
Fawnton,The Stormlands,-10.31491929,-107.8125,,
Felwood,The Stormlands,-12.12526422,-97.35351563,,
Evenfall_Hall,The Stormlands,-12.76894644,-83.77441406,,
Storm%27s_End,The Stormlands,-16.17247281,-91.86035156,,
Grandview,The Stormlands,-18.14585177,-101.2646484,,
Griffin%27s_Roost,The Stormlands,-18.43792465,-95.28808594,,
Summerhall,The Stormlands,-20.01464545,-108.2519531,,
Rain_House,The Stormlands,-21.12549764,-82.67578125,,
Crow%27s_Nest,The Stormlands,-22.06527807,-98.23242188,,
Harvest_Hall,The Stormlands,-21.90227797,-116.1621094,,
Blackhaven,The Stormlands,-24.20688962,-110.6689453,,
Stonehelm,The Stormlands,-25.52261465,-102.1875,,
Mistwood,The Stormlands,-27.56672143,-90.84960938,,
Greenstone,The Stormlands,-28.49766083,-83.68652344,,
Weeping_Tower,The Stormlands,-30.22110185,-91.20117188,,
Nightsong,The Stormlands,-29.07537518,-127.1923828,,
Wyl_(Dorne),Dorne,-29.19053283,-110.9765625,,
Vulture%27s_Roost,Dorne,-30.97760909,-122.3144531,,
Tower_of_Joy,Dorne,-31.95216224,-124.2919922,,
Kingsgrave,Dorne,-34.81380332,-124.3359375,,
Blackmont,Dorne,-36.77409249,-132.8613281,,
High_Hermitage,Dorne,-38.95940879,-132.7294922,,
Starfall,Dorne,-41.37680857,-135.6298828,,
Sandstone,Dorne,-44.93369639,-126.9726563,,
Skyreach,Dorne,-38.75408328,-125.0830078,,
Hellholt,Dorne,-44.18220396,-117.0849609,,
Yronwood,Dorne,-37.64903402,-114.4482422,,
Ghaston_Grey,Dorne,-35.31736633,-105,,
Vaith,Dorne,-44.59046718,-100.8251953,,
Tor,Dorne,-38.75408328,-99.85839844,,
Salt_Shore,Dorne,-46.80005945,-97.04589844,,
Godsgrace,Dorne,-42.45588764,-96.69433594,,
Ghost_Hill,Dorne,-39.26628442,-87.55371094,,
Lemonwood,Dorne,-45.33670191,-86.93847656,,
Planky_Town,Dorne,-44.0560117,-86.63085938,,
Sunspear,Dorne,-43.58039086,-84.56542969,,
Water_Gardens,Dorne,-42.97250159,-84.08203125,,
Port_of_Ibben,Essos,75.99483914,8.466796875,,
Braavos,Essos,43.92954994,-59.78027344,,
Lorath,Essos,39.77476949,-39.38964844,,
Tyrosh,Essos,-26.70635986,-69.31640625,,
Lys,Essos,-43.77109382,-56.96777344,,
Myr,Essos,-23.28171918,-49.18945313,,
Pentos,Essos,4.083452772,-59.16503906,,
Ghoyan_Drohe,Essos,7.754537347,-43.828125,,
Norvos,Essos,19.72534225,-31.34765625,,
Qohor,Essos,4.477856486,-5.5078125,,
Ar_Noy,Essos,-3.864254616,-16.84570313,,
Ny_Sar,Essos,-1.054627942,-29.72167969,,
Sorrows,Essos,-20.79720143,-22.82226563,,
Selhorys,Essos,-32.62087018,-19.96582031,,
Valysar,Essos,-38.34165619,-20.22949219,,
Volon_Therys,Essos,-41.60722821,-17.32910156,,
Sar_Mell,Essos,-41.44272638,-15.52734375,,
Volantis,Essos,-44.37098696,-10.69335938,,
Mantarys,Essos,-50.73645514,39.31640625,,
Bhorash,Essos,-46.86019102,61.24511719,,
Oros,Essos,-64.79284778,36.72363281,,
Tyria,Essos,-67.05030412,34.83398438,,
Valyria,Essos,-70.259452,32.41699219,,
Velos,Essos,-62.36999628,56.89453125,,
Ghozai,Essos,-58.83649009,55.48828125,,
Elyria,Essos,-55.65279803,43.93066406,,
Tolos,Essos,-54.39335222,49.3359375,,
Meereen,Essos,-45.49094569,80.44921875,,
Yunkai,Essos,-49.78126406,75.48339844,,
Astapor,Essos,-58.69977573,71.79199219,,
Old_Ghis,Essos,-66.63555578,75.26367188,,
New_Ghis,Essos,-71.92452774,78.99902344,,
Vaes_Dothrak,Essos,-18.02052766,71.8359375,,
Lhazar,Essos,-38.27268854,103.3447266,,
Vaes_Tolorro,Essos,-76.21644112,139.6435547,,
Dead_City1,Essos,-76.94048839,134.8095703,,Red_Waste#Geography
Dead_City2,Essos,-77.85109964,125.0537109,,Red_Waste#Geography
Qarth,Essos,-81.36788549,161.3964844,,
Zamettar,Sothoryos & The Summer Islands,-79.14653825,70.73730469,,
Gogossos,Sothoryos & The Summer Islands,-80.78175823,58.21289063,,
Yeen,Sothoryos & The Summer Islands,-81.01805777,74.82421875,,
Tall_Trees_Town,Sothoryos & The Summer Islands,-73.50346064,-130.9277344,,